CODIGO,PRODUTO, PREÇO,IPI,CAS,NCM,ST,EXERCITO,CIVIL,FEDERAL,IBAMA,ONU,CLASSE RISCO,VALIDADE,CONCENTRACAO,DENSIDADE,CATEGORIA,SUBCATEGORIA
TP04744RA,TETRABORATO DE POTASSIO 4H2O PA 100G," R$  126,66 ","0,00%",12045-78-2,2840.20.00,NAO,N,N,N,N,-,-,6 - ANO,98,"1,9",Sais Inorgânicos,Boratos e Silicatos
TP04743RA,TETRABORATO DE POTASSIO 4H2O PA 250G," R$  201,08 ","0,00%",12045-78-2,2840.20.00,NAO,N,N,N,N,-,-,6 - ANO,98,"1,9",Sais Inorgânicos,Boratos e Silicatos
TP04742RA,TETRABORATO DE POTASSIO 4H2O PA 500G," R$  311,55 ","0,00%",12045-78-2,2840.20.00,NAO,N,N,N,N,-,-,6 - ANO,98,"1,9",Sais Inorgânicos,Boratos e Silicatos
TS09283RA,TETRABORATO DE SODIO 10H2O BORAX PA 1KG," R$  36,59 ","0,00%",1303-96-4,2840.19.00,NAO,N,N,N,N,-,-,6 - ANO,"99,5","1,73",Sais Inorgânicos,Boratos e Silicatos
TS09731RA,TETRABORATO DE SODIO 10H2O BORAX PA 500G," R$  27,29 ","0,00%",1303-96-4,2840.19.00,NAO,N,N,N,N,-,-,6 - ANO,"99,5","1,73",Sais Inorgânicos,Boratos e Silicatos
TS06610RA,TETRABORATO DE SODIO ANIDRO PA 500G," R$  65,25 ","0,00%",1330-43-4,2840.19.00,NAO,N,N,N,N,-,-,6 - ANO,99,"2,36",Sais Inorgânicos,Boratos e Silicatos
TH04722RA,TETRACICLINA CLORIDRATO (HIDROCLORETO) PA  100G," R$  919,66 ","0,00%",64-75-5,2941.30.90,NAO,N,N,N,N,3077,9,6 - ANO,0,1,Sais Inorgânicos,Cloretos
TH04723RA,TETRACICLINA CLORIDRATO (HIDROCLORETO) PA  250G," R$  1.839,31 ","0,00%",64-75-5,2941.30.90,NAO,N,N,N,N,3077,9,6 - ANO,0,1,Sais Inorgânicos,Cloretos
TC06591RA,TETRACICLINA CLORIDRATO (HIDROCLORETO) PA  25G," R$  205,05 ","0,00%",64-75-5,2941.30.10,NAO,N,N,N,N,3077,9,6 - ANO,0,1,Sais Inorgânicos,Cloretos
T06401RA,TETRACLOROETANO 98% PA 1L," R$  755,36 ","0,00%",79-34-5,2903.19.90,NAO,N,N,N,N,1702,6.1,6 - ANO,98,"1,59",Compostos Orgânicos,Diversos
