termo,campanha,ad_group,impr,clicks,custo,ctr,conv,status,recomendacao,motivo
"álcool metilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"o que e xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",3,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onde comprar xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",3,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"solvente xileno","[Busca] - Produtos Prioritários","Xileno e Xilol PA",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilene","[Busca] - Produtos Prioritários","Xileno e Xilol PA",3,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilou","[Busca] - Produtos Prioritários","Xileno e Xilol PA",3,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"formaldeido preço","[Busca] - Produtos Prioritários","Formaldeído PA",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"formaldeído pa","[Busca] - Produtos Prioritários","Formaldeído PA",3,1,4.41,33.33%,0,"ADDED","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"formalina 37","[Busca] - Produtos Prioritários","Formaldeído PA",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"litro de formol","[Busca] - Produtos Prioritários","Formaldeído PA",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acido sulfurico preco","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ph ácido sulfúrico 98","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfurico","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfurico pa preço","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",3,0,0.00,0.00%,0,"ADDED","✅ ADICIONAR","Sinal positivo: "pa""
"acido cloridrico fumegante","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",3,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"cas 7647 01 0","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",3,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
